0(Vehicle),,,,vehicleOrderId,,,,orderedById,,,,delivered?,,,,orderTime,,,,deliveryTime(unDelivered=(00-00-0000==00-00-00),,,,modelName,,,,({optionName};-;...)
1(SingleTask),,,,singleTaskOrderId,,,,orderedById,,,,delivered?,,,,orderTime,,,,deliveryTime(unDelivered=(00-00-0000==00-00-00),,,,optionName,,,,deadlineTime
Begin_OrderInfo
0,,,,1,,,,1,,,,1,,,,26-02-2014==12-30-05,,,,28-02-2014==14-02-50,,,,Model A,,,,sedan;-;blue;-;standard 2l v4;-;5 speed manual;-;leather white;-;no airco;-;comfort;-;no spoiler
0,,,,52,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,53,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,54,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,55,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,56,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,57,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,58,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,59,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,60,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,61,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,62,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,63,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,64,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,65,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,66,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,67,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,68,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,69,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,70,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,71,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,72,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,73,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,74,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,75,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,76,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,77,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,78,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,79,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,80,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,81,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,82,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
0,,,,83,,,,2,,,,0,,,,28-02-2014==09-06-08,,,,00-00-0000==00-00-00,,,,Model C,,,,sport;-;white;-;ultra 3l v8;-;6 speed manual;-;leather black;-;no airco;-;sports;-;high
End_OrderInfo
